AccID	clade	qc.overallStatus
EPI_ISL_1696747	20H (Beta, V2)	good
EPI_ISL_1696748	20H (Beta, V2)	good
EPI_ISL_1696749	20H (Beta, V2)	good
EPI_ISL_1696750	20A	good
EPI_ISL_1696751	20H (Beta, V2)	good
EPI_ISL_1696752	20H (Beta, V2)	good
EPI_ISL_1696753	20A	good
EPI_ISL_1696754	20A	good
EPI_ISL_1696755	20H (Beta, V2)	good
EPI_ISL_1696756	20A	bad
EPI_ISL_1696757	20A	good
EPI_ISL_1696758	20H (Beta, V2)	good
EPI_ISL_1714796	20A	mediocre
EPI_ISL_1714797	20A	good
EPI_ISL_1714798	20A	good
EPI_ISL_1787254	21B (Kappa)	good
EPI_ISL_1787317	20D	good
EPI_ISL_1787318	20I (Alpha, V1)	bad
EPI_ISL_1787319	20I (Alpha, V1)	mediocre
EPI_ISL_1787320	20H (Beta, V2)	good
EPI_ISL_1787321	20H (Beta, V2)	good
EPI_ISL_1787322	20H (Beta, V2)	bad
EPI_ISL_1787323	20H (Beta, V2)	good
EPI_ISL_1787324	20A	bad
EPI_ISL_1787689	20A	mediocre
EPI_ISL_1787983	20A	good
EPI_ISL_1788079	20A	good
EPI_ISL_1788080	20A	mediocre
EPI_ISL_1788081	20A	mediocre
EPI_ISL_1788082	20A	mediocre
EPI_ISL_1789203	20A	bad
EPI_ISL_1789204	20A	good
EPI_ISL_1805505	20H (Beta, V2)	good
EPI_ISL_1805508	20H (Beta, V2)	good
EPI_ISL_1805509	20H (Beta, V2)	good
EPI_ISL_1807185	20A	mediocre
EPI_ISL_1807186	20A	good
EPI_ISL_1807188	20A	good
EPI_ISL_1807206	20A	bad
EPI_ISL_1807207	20A	bad
EPI_ISL_1821883	20H (Beta, V2)	good
EPI_ISL_1821884	20H (Beta, V2)	good
EPI_ISL_1919272	20H (Beta, V2)	good
EPI_ISL_1919273	20H (Beta, V2)	good
EPI_ISL_1919422	20H (Beta, V2)	good
EPI_ISL_1919645	20H (Beta, V2)	good
EPI_ISL_1919646	20H (Beta, V2)	good
EPI_ISL_1919647	20H (Beta, V2)	bad
EPI_ISL_1919648	20H (Beta, V2)	bad
EPI_ISL_1919649	20H (Beta, V2)	good
EPI_ISL_1919650	20A	bad
EPI_ISL_1919651	20A	mediocre
EPI_ISL_1919652	20A	mediocre
EPI_ISL_1919653	20A	good
EPI_ISL_1919654	20A	good
EPI_ISL_1919858	20A	mediocre
EPI_ISL_1919859	20A	bad
EPI_ISL_1919860	20A	bad
EPI_ISL_1919861	20I (Alpha, V1)	good
EPI_ISL_1919862	20A	good
EPI_ISL_1919863	20A	good
EPI_ISL_1919944	20H (Beta, V2)	good
EPI_ISL_1919945	20H (Beta, V2)	good
EPI_ISL_1919946	20A	good
EPI_ISL_1919947	20A	good
EPI_ISL_1919949	20A	good
EPI_ISL_1919950	20H (Beta, V2)	bad
EPI_ISL_1919951	20H (Beta, V2)	good
EPI_ISL_1919952	20H (Beta, V2)	good
EPI_ISL_1919986	20H (Beta, V2)	good
EPI_ISL_1919987	20H (Beta, V2)	good
EPI_ISL_1921767	20H (Beta, V2)	bad
EPI_ISL_1921769	20H (Beta, V2)	good
EPI_ISL_1921770	20H (Beta, V2)	good
EPI_ISL_1972356	21A (Delta)	bad
EPI_ISL_1972365	20H (Beta, V2)	bad
EPI_ISL_1972366	20H (Beta, V2)	good
EPI_ISL_1972533	20A	mediocre
EPI_ISL_1972534	20H (Beta, V2)	good
EPI_ISL_1972535	20H (Beta, V2)	good
EPI_ISL_1972536	20H (Beta, V2)	bad
EPI_ISL_1972537	20A	good
EPI_ISL_1972538	20A	bad
EPI_ISL_1972539	20H (Beta, V2)	good
EPI_ISL_1972540	20A	good
EPI_ISL_1972547	20A	good
EPI_ISL_1972548	20A	mediocre
EPI_ISL_1972549	20A	bad
EPI_ISL_1972550	20A	mediocre
EPI_ISL_1972551	20A	bad
EPI_ISL_1972552	20A	mediocre
EPI_ISL_1972553	20A	bad
EPI_ISL_1972889	19A	mediocre
EPI_ISL_1972891	20A	bad
EPI_ISL_1972892	19A	mediocre
EPI_ISL_1972893	20B	good
EPI_ISL_1972894	20A	mediocre
EPI_ISL_1972895	19A	mediocre
EPI_ISL_1973324	20H (Beta, V2)	mediocre
EPI_ISL_1973325	20A	good
EPI_ISL_1973326	20A	good
EPI_ISL_1973327	20A	mediocre
EPI_ISL_1973328	20A	good
EPI_ISL_2001114	19A	mediocre
EPI_ISL_2001115	19A	good
EPI_ISL_2001213	19A	good
EPI_ISL_2001429	20C	good
EPI_ISL_2001430	19A	good
EPI_ISL_2001481	19A	good
EPI_ISL_2001482	19A	good
EPI_ISL_2001643	19A	good
EPI_ISL_2001644	19A	good
EPI_ISL_2001645	19A	mediocre
EPI_ISL_2001654	19A	mediocre
EPI_ISL_2001655	19A	good
EPI_ISL_2001656	19A	good
EPI_ISL_2001659	19A	bad
EPI_ISL_2009116	19A	bad
EPI_ISL_2009193	20A	mediocre
EPI_ISL_2009232	20A	mediocre
EPI_ISL_2009233	20A	mediocre
EPI_ISL_2009234	20A	mediocre
EPI_ISL_2009305	20A	bad
EPI_ISL_2009529	20A	mediocre
EPI_ISL_2009530	20A	good
EPI_ISL_2009595	20A	bad
EPI_ISL_2020075	20H (Beta, V2)	good
EPI_ISL_2020076	20H (Beta, V2)	good
EPI_ISL_2020077	20H (Beta, V2)	mediocre
EPI_ISL_2020078	20H (Beta, V2)	good
EPI_ISL_2020165	20H (Beta, V2)	mediocre
EPI_ISL_2020166	20H (Beta, V2)	good
EPI_ISL_2020167	20H (Beta, V2)	mediocre
EPI_ISL_2020238	20A	good
EPI_ISL_2020239	20A	good
EPI_ISL_2020240	20A	good
EPI_ISL_2090886	20H (Beta, V2)	good
EPI_ISL_2090887	20A	good
EPI_ISL_2090889	20A	mediocre
EPI_ISL_2090890	20H (Beta, V2)	good
EPI_ISL_2090891	20H (Beta, V2)	bad
EPI_ISL_2091000	20H (Beta, V2)	good
EPI_ISL_2091020	21A (Delta)	good
EPI_ISL_2091022	20A	good
EPI_ISL_2091024	21A (Delta)	good
EPI_ISL_2151509	20A	good
EPI_ISL_2151510	20A	good
EPI_ISL_2151541	20A	good
EPI_ISL_2151584	20A	mediocre
EPI_ISL_2233382	21A (Delta)	good
EPI_ISL_2233383	20A	good
EPI_ISL_2233384	20A	good
EPI_ISL_2342546	20I (Alpha, V1)	good
EPI_ISL_2342547	20A	good
EPI_ISL_2342548	20H (Beta, V2)	good
EPI_ISL_2342549	20H (Beta, V2)	good
EPI_ISL_2342550	20H (Beta, V2)	good
EPI_ISL_2342551	20H (Beta, V2)	good
EPI_ISL_2342552	20A	good
EPI_ISL_2342553	20A	good
EPI_ISL_2342554	20A	mediocre
EPI_ISL_2342555	20A	good
EPI_ISL_2342556	20A	good
EPI_ISL_2342557	20A	good
EPI_ISL_2342558	20A	good
EPI_ISL_2342559	20A	good
EPI_ISL_2342560	20A	good
EPI_ISL_2342561	20A	good
EPI_ISL_2342562	20A	mediocre
EPI_ISL_2342563	20A	mediocre
EPI_ISL_2342564	20A	good
EPI_ISL_2342565	20A	good
EPI_ISL_2342566	20A	good
EPI_ISL_2342567	20A	good
EPI_ISL_2342568	20A	good
EPI_ISL_2342569	20A	good
EPI_ISL_2342570	20A	good
EPI_ISL_2342571	20A	good
EPI_ISL_2342572	20A	good
EPI_ISL_2342573	20A	good
EPI_ISL_2342574	20A	good
EPI_ISL_2342575	20A	good
EPI_ISL_2342576	20A	good
EPI_ISL_2342577	20A	mediocre
EPI_ISL_2342578	20A	good
EPI_ISL_2342579	20A	good
EPI_ISL_2342580	20A	good
EPI_ISL_2342581	20A	good
EPI_ISL_2342582	20A	good
EPI_ISL_2342583	20A	good
EPI_ISL_2342584	20A	good
EPI_ISL_2342585	20A	good
EPI_ISL_2342586	20A	good
EPI_ISL_2342587	20A	good
EPI_ISL_2342588	20A	good
EPI_ISL_2342589	20A	good
EPI_ISL_2342590	20A	good
EPI_ISL_2342591	20A	good
EPI_ISL_2342592	20A	good
EPI_ISL_2342593	20A	good
EPI_ISL_2342594	20A	good
EPI_ISL_2342595	20A	good
EPI_ISL_2342596	20A	good
EPI_ISL_2342597	20A	good
EPI_ISL_2342598	20A	good
EPI_ISL_2342599	20A	good
EPI_ISL_2342600	20A	good
EPI_ISL_2367469	20A	good
EPI_ISL_2367470	20A	good
EPI_ISL_2367471	20A	good
EPI_ISL_2367472	20A	good
EPI_ISL_2367473	20A	good
EPI_ISL_2367474	20A	good
EPI_ISL_2367475	20A	good
EPI_ISL_2367476	20A	good
EPI_ISL_2367477	20A	good
EPI_ISL_2367478	20A	good
EPI_ISL_2367479	20A	good
EPI_ISL_2367480	20A	good
EPI_ISL_2367481	20A	good
EPI_ISL_2367482	20A	good
EPI_ISL_2367483	20A	good
EPI_ISL_2367484	20A	good
EPI_ISL_2367485	20A	good
EPI_ISL_2367486	20A	good
EPI_ISL_2367487	20A	good
EPI_ISL_2367488	20A	good
EPI_ISL_2367489	20A	mediocre
EPI_ISL_2367490	20A	good
EPI_ISL_2367491	20A	good
EPI_ISL_2367492	20A	good
EPI_ISL_2367493	20A	good
EPI_ISL_2367494	20A	good
EPI_ISL_2367495	20A	good
EPI_ISL_2367496	20A	good
EPI_ISL_2367497	20A	good
EPI_ISL_2367498	20A	good
EPI_ISL_2367499	20A	good
EPI_ISL_2367500	20A	good
EPI_ISL_2367501	20A	good
EPI_ISL_2367502	20A	good
EPI_ISL_2367503	20A	good
EPI_ISL_2367504	20A	good
EPI_ISL_2367505	20A	good
EPI_ISL_2367506	20A	good
EPI_ISL_2367507	20A	good
EPI_ISL_2367508	20A	good
EPI_ISL_2367509	20A	good
EPI_ISL_2367510	20A	good
EPI_ISL_2367511	20A	good
EPI_ISL_2367512	20A	good
EPI_ISL_2367513	20A	good
EPI_ISL_2367514	20A	good
EPI_ISL_2367515	20A	good
EPI_ISL_2367516	20A	good
EPI_ISL_2367517	20A	good
EPI_ISL_2367518	20A	good
EPI_ISL_2367519	20A	good
EPI_ISL_2367520	20A	good
EPI_ISL_2367521	20A	good
EPI_ISL_2367522	20A	good
EPI_ISL_2367523	20A	good
EPI_ISL_2367524	20A	good
EPI_ISL_2367525	20A	good
EPI_ISL_2367526	20A	good
EPI_ISL_2367527	20A	good
EPI_ISL_2367528	20A	good
EPI_ISL_2367529	20A	good
EPI_ISL_2367530	20A	good
EPI_ISL_2367531	20A	good
EPI_ISL_2367532	20A	good
EPI_ISL_2367533	20A	good
EPI_ISL_2367534	20A	good
EPI_ISL_2367535	20A	good
EPI_ISL_2367536	20A	good
EPI_ISL_2367537	20A	good
EPI_ISL_2367538	20A	good
EPI_ISL_2367539	20A	good
EPI_ISL_2367540	20A	good
EPI_ISL_2367541	20A	good
EPI_ISL_2367542	20A	good
EPI_ISL_2367543	20A	good
EPI_ISL_2367544	20A	good
EPI_ISL_2367545	20A	good
EPI_ISL_2367546	20A	good
EPI_ISL_2367547	20A	good
EPI_ISL_2367548	20A	good
EPI_ISL_2367549	20A	good
EPI_ISL_2367550	20A	good
EPI_ISL_2367551	20A	good
EPI_ISL_2367552	20A	good
EPI_ISL_2367553	20A	good
EPI_ISL_2367554	20A	good
EPI_ISL_2367555	20A	good
EPI_ISL_2367556	20A	good
EPI_ISL_2367557	20A	good
EPI_ISL_2367558	20A	good
EPI_ISL_2367559	20A	good
EPI_ISL_2367560	20A	good
EPI_ISL_2367561	20A	good
EPI_ISL_2367562	20A	good
EPI_ISL_2379433	21A (Delta)	good
EPI_ISL_2379443	21J (Delta)	mediocre
EPI_ISL_2379461	20A	good
EPI_ISL_2379650	21A (Delta)	good
EPI_ISL_2379748	21A (Delta)	good
EPI_ISL_2379749	20A	good
EPI_ISL_2379894	20A	good
EPI_ISL_2379895	20A	good
EPI_ISL_2379896	20A	good
EPI_ISL_2379897	20A	good
EPI_ISL_2379898	20A	good
EPI_ISL_2379899	20A	good
EPI_ISL_2379900	20A	good
EPI_ISL_2379901	20A	good
EPI_ISL_2379902	20A	good
EPI_ISL_2379903	20A	good
EPI_ISL_2379904	20A	good
EPI_ISL_2379905	20A	good
EPI_ISL_2379906	20A	good
EPI_ISL_2379907	20A	good
EPI_ISL_2379908	20A	good
EPI_ISL_2379909	20A	good
EPI_ISL_2379910	20A	good
EPI_ISL_2379911	20A	good
EPI_ISL_2379912	20A	good
EPI_ISL_2379913	20A	good
EPI_ISL_2379914	20A	good
EPI_ISL_2379915	20A	good
EPI_ISL_2379916	20A	good
EPI_ISL_2379917	20A	good
EPI_ISL_2379918	20A	good
EPI_ISL_2379919	20A	good
EPI_ISL_2379920	20A	good
EPI_ISL_2379921	20A	good
EPI_ISL_2379922	20A	good
EPI_ISL_2379923	20A	good
EPI_ISL_2379924	20A	good
EPI_ISL_2379925	20A	good
EPI_ISL_2379926	20A	good
EPI_ISL_2379927	20A	good
EPI_ISL_2379928	20A	good
EPI_ISL_2379929	20A	good
EPI_ISL_2379930	20A	good
EPI_ISL_2379931	20A	good
EPI_ISL_2379932	20A	good
EPI_ISL_2379933	20A	good
EPI_ISL_2379934	20A	good
EPI_ISL_2379935	20A	good
EPI_ISL_2379936	20A	good
EPI_ISL_2379937	20A	good
EPI_ISL_2379938	20A	good
EPI_ISL_2379939	20A	good
EPI_ISL_2379940	20A	good
EPI_ISL_2379941	20A	good
EPI_ISL_2379942	20A	mediocre
EPI_ISL_2379943	20A	good
EPI_ISL_2379944	20A	good
EPI_ISL_2379945	20A	good
EPI_ISL_2379946	20A	good
EPI_ISL_2379947	20A	good
EPI_ISL_2379948	20A	good
EPI_ISL_2379949	20A	good
EPI_ISL_2379950	20A	good
EPI_ISL_2379951	20A	good
EPI_ISL_2379952	20A	good
EPI_ISL_2379953	20A	good
EPI_ISL_2379954	20A	good
EPI_ISL_2379955	20A	good
EPI_ISL_2379956	20A	good
EPI_ISL_2379957	20A	good
EPI_ISL_2379958	20A	good
EPI_ISL_2379959	20A	good
EPI_ISL_2379960	20A	good
EPI_ISL_2379961	20A	good
EPI_ISL_2379962	20A	good
EPI_ISL_2379963	20A	good
EPI_ISL_2379964	20A	good
EPI_ISL_2379965	20A	good
EPI_ISL_2379966	20A	good
EPI_ISL_2379967	20A	good
EPI_ISL_2379968	20A	good
EPI_ISL_2379969	20A	mediocre
EPI_ISL_2379970	20A	good
EPI_ISL_2379971	20A	good
EPI_ISL_2379972	20A	good
EPI_ISL_2379973	20A	good
EPI_ISL_2379974	20A	good
EPI_ISL_2379975	20A	good
EPI_ISL_2379976	20A	good
EPI_ISL_2379977	20A	good
EPI_ISL_2379978	20A	good
EPI_ISL_2379979	20A	good
EPI_ISL_2379980	20A	good
EPI_ISL_2379981	20A	good
EPI_ISL_2379982	20A	good
EPI_ISL_2379983	20A	good
EPI_ISL_2379984	20A	good
EPI_ISL_2379985	20A	good
EPI_ISL_2379986	20A	good
EPI_ISL_2379987	20A	good
EPI_ISL_2379988	20A	good
EPI_ISL_2379989	20A	good
EPI_ISL_2379990	20A	good
EPI_ISL_2379991	20A	good
EPI_ISL_2379992	20A	good
EPI_ISL_2379993	20A	good
EPI_ISL_2379994	20A	good
EPI_ISL_2379995	20A	good
EPI_ISL_2379996	20A	good
EPI_ISL_2379997	20A	good
EPI_ISL_2379998	20A	good
EPI_ISL_2379999	20A	good
EPI_ISL_2380000	20A	mediocre
EPI_ISL_2380001	20A	good
EPI_ISL_2380002	20A	good
EPI_ISL_2380003	20A	good
EPI_ISL_2380004	20A	good
EPI_ISL_2380005	20A	good
EPI_ISL_2380006	20A	good
EPI_ISL_2380007	20A	good
EPI_ISL_2380008	20A	good
EPI_ISL_2380009	20A	good
EPI_ISL_2380010	20A	good
EPI_ISL_2380011	20A	good
EPI_ISL_2380012	20A	good
EPI_ISL_2380013	20A	good
EPI_ISL_2380014	20A	good
EPI_ISL_2380015	20A	good
EPI_ISL_2380016	20A	good
EPI_ISL_2380017	20A	good
EPI_ISL_2380018	20A	good
EPI_ISL_2380019	20A	good
EPI_ISL_2380020	20A	good
EPI_ISL_2380021	20A	good
EPI_ISL_2380022	20A	good
EPI_ISL_2380023	20A	good
EPI_ISL_2380024	20A	good
EPI_ISL_2380025	20A	good
EPI_ISL_2380026	20A	good
EPI_ISL_2380027	20A	good
EPI_ISL_2380028	20A	good
EPI_ISL_2380029	20A	good
EPI_ISL_2380030	20A	good
EPI_ISL_2380031	20A	good
EPI_ISL_2380032	20A	good
EPI_ISL_2380033	20A	good
EPI_ISL_2429132	20A	bad
EPI_ISL_2429134	20A	good
EPI_ISL_2429136	21I (Delta)	good
EPI_ISL_2429137	21A (Delta)	good
EPI_ISL_2429138	21A (Delta)	mediocre
EPI_ISL_2429141	21A (Delta)	good
EPI_ISL_2429142	20A	good
EPI_ISL_2429143	20A	good
EPI_ISL_2429145	20A	good
EPI_ISL_2535602	20A	good
EPI_ISL_2535603	20A	good
EPI_ISL_2535604	20A	good
EPI_ISL_2535605	20A	good
EPI_ISL_2535606	20A	good
EPI_ISL_2535607	20A	good
EPI_ISL_2535608	20A	good
EPI_ISL_2535609	21D (Eta)	good
EPI_ISL_2535610	21E (Theta)	good
EPI_ISL_2535611	20A	good
EPI_ISL_2535612	20A	good
EPI_ISL_2535613	20A	good
EPI_ISL_2535614	20A	good
EPI_ISL_2535615	20A	good
EPI_ISL_2535616	20A	mediocre
EPI_ISL_2535617	20A	good
EPI_ISL_2535618	20A	good
EPI_ISL_2535619	20A	good
EPI_ISL_2535620	21E (Theta)	good
EPI_ISL_2535621	20A	good
EPI_ISL_2535622	20A	good
EPI_ISL_2535623	20A	good
EPI_ISL_2535624	20A	good
EPI_ISL_2535625	20A	good
EPI_ISL_2535626	20A	good
EPI_ISL_2535627	21D (Eta)	good
EPI_ISL_2535628	20A	good
EPI_ISL_2535629	20A	good
EPI_ISL_2535630	20A	good
EPI_ISL_2535631	20A	good
EPI_ISL_2535632	20A	good
EPI_ISL_2535633	20A	good
EPI_ISL_2535634	20A	good
EPI_ISL_2535635	20A	mediocre
EPI_ISL_2535636	20A	good
EPI_ISL_2535637	20A	good
EPI_ISL_2535638	20A	good
EPI_ISL_2535639	20A	good
EPI_ISL_2535640	20A	good
EPI_ISL_2535641	20A	good
EPI_ISL_2535642	20A	good
EPI_ISL_2535643	20A	mediocre
EPI_ISL_2535644	20A	good
EPI_ISL_2535645	20A	good
EPI_ISL_2535646	20A	good
EPI_ISL_2535647	20A	good
EPI_ISL_2535648	20A	good
EPI_ISL_2535649	20A	good
EPI_ISL_2535650	21E (Theta)	good
EPI_ISL_2535651	20A	good
EPI_ISL_2535652	20A	good
EPI_ISL_2535653	20A	good
EPI_ISL_2535654	20A	good
EPI_ISL_2535655	20A	good
EPI_ISL_2535656	20A	good
EPI_ISL_2535657	20A	good
EPI_ISL_2535658	20A	good
EPI_ISL_2535659	20A	good
EPI_ISL_2535660	20A	good
EPI_ISL_2535661	20A	good
EPI_ISL_2535662	20A	good
EPI_ISL_2535663	20A	good
EPI_ISL_2535664	20H (Beta, V2)	good
EPI_ISL_2535665	21E (Theta)	good
EPI_ISL_2535666	20A	good
EPI_ISL_2535667	21E (Theta)	good
EPI_ISL_2535668	21E (Theta)	good
EPI_ISL_2535669	20A	good
EPI_ISL_2535670	20A	good
EPI_ISL_2535671	20A	good
EPI_ISL_2535672	20A	good
EPI_ISL_2535673	20A	good
EPI_ISL_2535674	20A	good
EPI_ISL_2535675	20A	good
EPI_ISL_2535676	20A	good
EPI_ISL_2535677	20A	good
EPI_ISL_2535678	20A	good
EPI_ISL_2535679	20A	good
EPI_ISL_2535680	20A	good
EPI_ISL_2535681	20A	good
EPI_ISL_2535682	20A	mediocre
EPI_ISL_2535683	21E (Theta)	good
EPI_ISL_2535684	20A	good
EPI_ISL_2535685	20A	good
EPI_ISL_2535686	20A	good
EPI_ISL_2535687	20A	good
EPI_ISL_2535688	20A	good
EPI_ISL_2535689	20A	good
EPI_ISL_2535690	20A	good
EPI_ISL_2535691	20A	good
EPI_ISL_2535692	20A	good
EPI_ISL_2535693	20A	good
EPI_ISL_2535694	20A	good
EPI_ISL_2535695	20A	good
EPI_ISL_2535696	20A	good
EPI_ISL_2535697	20A	good
EPI_ISL_2535698	20A	good
EPI_ISL_2535699	20A	good
EPI_ISL_2535700	20A	good
EPI_ISL_2535701	20A	good
EPI_ISL_2535702	20A	good
EPI_ISL_2535703	20A	good
EPI_ISL_2535704	20A	good
EPI_ISL_2535705	20A	good
EPI_ISL_2535706	20A	good
EPI_ISL_2535707	20A	good
EPI_ISL_2535708	20A	good
EPI_ISL_2535709	20A	good
EPI_ISL_2535710	20A	good
EPI_ISL_2535711	20A	good
EPI_ISL_2535712	20A	good
EPI_ISL_2535713	20A	good
EPI_ISL_2535714	20A	good
EPI_ISL_2535715	20A	good
EPI_ISL_2535716	20A	good
EPI_ISL_2535717	20A	good
EPI_ISL_2535718	20A	good
EPI_ISL_2535719	20A	good
EPI_ISL_2535720	20A	good
EPI_ISL_2535721	20A	good
EPI_ISL_2535722	20A	good
EPI_ISL_2535723	20A	good
EPI_ISL_2535724	20A	good
EPI_ISL_2535725	20A	good
EPI_ISL_2535726	20A	good
