"SeqName","AccID","Collectiondate","Clade","qc.overallScore","qc.overallStatus","OriginLab","SubmittingLab"
"hCoV-19/Malaysia/IMR_85441/2021","EPI_ISL_1585270","2021-04-02","20A","70.3125","mediocre","Hospital Labuan","IMR"
"hCoV-19/Malaysia/IMR_125063/2021","EPI_ISL_1585271","2021-04-02","20A","67.361111","mediocre","Hospital Labuan","IMR"
"hCoV-19/Malaysia/IMR_HTJ105953/2021","EPI_ISL_1672633","2021-04-05","20H (Beta, V2)","0","good","Hospital Tuanku Jaafar","IMR"
"hCoV-19/Malaysia/IMR_LD125191/2021","EPI_ISL_1673257","2021-04-07","20A","14.0625","good","Hospital Lahat Datu","IMR"
"hCoV-19/Malaysia/IMR_015522/2021","EPI_ISL_1673280","2021-03-29","20A","225.694444","bad","Hospital Sultan Ismail","IMR"
"hCoV-19/Malaysia/IMR_016383/2021","EPI_ISL_1673283","2021-03-29","20A","14.0625","good","Hospital Sultanah Aminah","IMR"
"hCoV-19/Malaysia/IMR_015967/2021","EPI_ISL_1673284","2021-03-29","20A","175.173611","bad","Hospital Sultanah Nora Ismail","IMR"
"hCoV-19/Malaysia/IMR_WC167994/2021","EPI_ISL_1673287","2021-04-02","20A","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_015619/2021","EPI_ISL_1673288","2021-03-21","20A","21.006944","good","Hospital Segamat Johor","IMR"
"hCoV-19/Malaysia/IMR_WC168501/2021","EPI_ISL_1673293","2021-04-03","20A","50.173611","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC170145/2021","EPI_ISL_1673296","2021-04-03","20A","17.361111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC166928/2021","EPI_ISL_1673299","2021-04-01","20A","44.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC167203/2021","EPI_ISL_1673304","2021-04-01","20A","17.361111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC130430/2021","EPI_ISL_1673307","2021-03-12","20A","17.361111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_120439/2021","EPI_ISL_1673309","2021-03-10","20A","25","good","Hospital Temenggong Seri Maharaja Tun Ibrahim","IMR"
"hCoV-19/Malaysia/IMR_WC124327/2021","EPI_ISL_1673332","2021-03-10","20H (Beta, V2)","0.694444","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC142870/2021","EPI_ISL_1673336","2021-03-18","20A","11.111111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_08356/2021","EPI_ISL_1673337","2021-02-25","20A","171.006944","bad","Hospital Pakar Sultanah Fatimah","IMR"
"hCoV-19/Malaysia/IMR_WC146649/2021","EPI_ISL_1673338","2021-03-20","20A","173.090278","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC169726/2021","EPI_ISL_1673340","2021-04-03","20A","142.361111","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC139733/2021","EPI_ISL_1673341","2021-03-17","20H (Beta, V2)","6.25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC168043/2021","EPI_ISL_1673342","2021-04-02","20A","34.027778","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC149073/2021","EPI_ISL_1673344","2021-03-22","20H (Beta, V2)","8.506944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC169785/2021","EPI_ISL_1673345","2021-04-03","20A","56.25","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC167991/2021","EPI_ISL_1673420","2021-04-03","20A","14.0625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WI040/2021","EPI_ISL_1673683","2021-03-04","20A","8.506944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WI048/2021","EPI_ISL_1673735","2021-03-04","20A","133.506944","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC122006/2021","EPI_ISL_1696746","2021-03-08","20H (Beta, V2)","1.5625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC124295/2021","EPI_ISL_1696747","2021-03-09","20H (Beta, V2)","1.5625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC124303/2021","EPI_ISL_1696748","2021-03-09","20H (Beta, V2)","8.506944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC128227/2021","EPI_ISL_1696749","2021-03-11","20H (Beta, V2)","4.340278","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC128221/2021","EPI_ISL_1696750","2021-03-12","20A","8.506944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC128230/2021","EPI_ISL_1696751","2021-03-11","20H (Beta, V2)","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC130433/2021","EPI_ISL_1696752","2021-03-12","20H (Beta, V2)","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC135320/2021","EPI_ISL_1696753","2021-03-16","20A","17.361111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC139765/2021","EPI_ISL_1696754","2021-03-17","20A","21.006944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC139796/2021","EPI_ISL_1696755","2021-03-17","20H (Beta, V2)","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC148922/2021","EPI_ISL_1696756","2021-03-22","20A","161.111111","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC148975/2021","EPI_ISL_1696757","2021-03-22","20A","21.006944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC149069/2021","EPI_ISL_1696758","2021-03-22","20H (Beta, V2)","0.173611","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WI051/2021","EPI_ISL_1714796","2021-03-04","20A","33.506944","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WI057/2021","EPI_ISL_1714797","2021-03-04","20A","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC342772/2020","EPI_ISL_1714798","2020-12-14","20A","11.111111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC185230/2021","EPI_ISL_1787254","2021-04-10","21B (Kappa)","1.5625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC185229/2021","EPI_ISL_1787317","2021-04-10","20D","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC171038/2021","EPI_ISL_1787318","2021-04-05","20I (Alpha, V1)","133.506944","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC173029/2021","EPI_ISL_1787319","2021-04-06","20I (Alpha, V1)","94.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC197830/2021","EPI_ISL_1787320","2021-04-16","20H (Beta, V2)","6.25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC203198/2021","EPI_ISL_1787321","2021-04-17","20H (Beta, V2)","2.777778","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC185178/2021","EPI_ISL_1787322","2021-04-10","20H (Beta, V2)","161.111111","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC192273/2021","EPI_ISL_1787323","2021-04-14","20H (Beta, V2)","4.340278","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC189771/2021","EPI_ISL_1787324","2021-04-13","20A","116.840278","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC192512/2021","EPI_ISL_1787689","2021-04-12","20A","81.25","mediocre","IMR","IMR"
